"","fips","beds_licensed","beds_staffed","beds_ICU","beds_ICU_adult","beds_ICU_pediatric"
"338",13065,25,15,3,3,0
"339",13067,1346,1243,98,98,49
"340",13069,88,86,10,10,0
"341",13071,168,127,16,16,0
"342",13075,33,33,6,6,0
"343",13077,254,250,23,23,10
"344",13081,73,65,16,16,0
"345",13083,36,36,6,6,0
"346",13087,80,80,10,10,0
"347",13089,2368,1957,307,307,42
"348",13091,94,40,6,6,0
"349",13095,691,409,50,50,27
"350",13097,108,102,8,8,0
"351",13099,25,15,3,3,0
"352",13103,25,25,4,4,0
"353",13105,25,52,4,4,0
"354",13107,72,45,8,8,0
"355",13109,49,49,9,9,0
"356",13111,50,50,5,5,0
"357",13113,282,221,66,66,20
"358",13115,514,435,42,42,0
"359",13117,304,304,24,24,0
"360",13119,56,56,8,8,0
"361",13121,4682,3805,656,656,154
"362",13127,401,401,12,12,0
"363",13129,69,69,8,8,0
"364",13131,60,46,4,4,0
"365",13133,50,50,8,8,0
"366",13135,848,945,70,70,42
"367",13137,53,53,4,4,0
"368",13139,657,545,85,85,0
"369",13143,25,15,3,3,0
"370",13151,215,215,33,33,16
"371",13153,276,276,36,36,0
"372",13155,34,34,6,6,0
"373",13157,90,28,5,5,0
"374",13159,17,12,2,2,0
"375",13161,35,25,4,4,0
"376",13163,37,37,6,6,0
"377",13165,25,15,3,3,0
"378",13173,25,25,4,4,0
"379",13175,190,145,16,16,0
"380",13179,64,64,4,4,0
"381",13185,443,377,48,48,0
"382",13187,52,0,32,32,0
"383",13189,25,25,4,4,0
"384",13193,49,22,4,4,0
"385",13199,109,109,11,11,0
"386",13201,25,25,4,4,0
"387",13205,23,25,4,4,0
"388",13207,25,25,5,5,0
"389",13211,25,25,4,4,0
"390",13213,42,29,5,5,0
"391",13215,1167,794,69,69,39
"392",13217,101,94,10,10,6
"393",13223,112,112,8,8,0
"394",13225,25,25,4,4,0
"395",13227,52,52,6,6,0
"396",13233,25,25,4,4,0
"397",13235,49,55,6,6,0
"398",13241,25,25,4,4,0
"399",13243,25,25,4,4,0
"400",13245,2824,1850,402,402,74
"401",13247,138,138,16,16,0
"402",13251,25,25,4,4,0
"403",13253,65,45,8,8,0
"404",13255,160,160,22,22,0
"405",13257,96,74,6,6,0
"406",13261,76,54,9,9,0
"407",13267,25,25,4,4,0
"408",13275,264,226,35,35,0
"409",13277,241,181,20,20,0
"410",13279,57,52,8,8,0
"411",13281,25,25,4,4,0
"412",13285,276,276,20,20,0
"413",13291,45,39,5,5,0
"414",13293,115,87,28,28,0
"415",13297,165,164,7,7,0
"416",13299,231,134,10,10,6
"417",13303,56,56,10,10,0
"418",13305,88,88,12,12,0
"419",13313,282,246,34,34,0
"420",13317,25,25,4,4,0
"421",13321,25,25,4,4,0
"422",15001,333,296,28,28,0
"423",15003,2639,2716,155,155,112
"424",15007,111,102,10,10,0
"425",15009,247,247,26,26,0
"426",16001,1305,1195,97,97,110
"427",16005,205,137,20,20,16
"428",16007,21,21,4,4,0
"429",16009,19,19,3,3,0
"430",16011,153,131,6,6,0
"431",16013,25,25,4,4,0
"432",16017,25,25,4,4,0
"433",16019,420,267,74,74,26
"434",16021,20,20,3,3,0
"435",16023,14,14,2,2,0
"436",16027,343,282,41,41,12
"437",16029,25,25,4,4,0
"438",16031,25,31,6,6,0
"439",16035,83,78,4,4,0
"440",16039,25,21,4,4,0
"441",16041,20,20,3,3,0
"442",16045,16,13,2,2,0
"443",16047,18,16,3,3,0
"444",16049,41,40,7,7,0
"445",16053,25,25,4,4,0
"446",16055,434,401,76,76,14
"447",16057,25,25,3,3,0
"448",16059,18,18,3,3,0
"449",16065,69,67,4,4,14
"450",16067,25,16,3,3,0
"451",16069,145,110,9,9,0
"452",16071,11,11,2,2,0
"453",16077,10,10,2,2,0
"454",16079,25,21,4,4,0
"455",16081,13,13,2,2,0
"456",16083,224,186,30,30,18
"457",16085,25,23,4,4,0
"458",16087,25,19,3,3,0
"459",17001,307,248,25,25,0
"460",17005,42,32,6,6,0
"461",17011,94,69,9,9,0
"462",17019,680,637,39,39,25
"463",17021,47,47,8,8,0
"464",17025,20,20,3,3,0
"465",17027,70,46,8,8,0
"466",17029,149,82,14,14,0
"467",17031,18546,15382,2021,2021,651
"468",17033,63,25,4,4,0
"469",17037,192,192,27,27,0
"470",17039,25,15,3,3,0
"471",17043,1928,1723,219,219,45
"472",17045,25,25,4,4,0
"473",17049,133,133,10,10,0
"474",17051,110,29,4,4,0
"475",17053,41,25,2,2,0
"476",17055,16,16,3,3,0
"477",17057,87,43,5,5,0
"478",17061,25,25,4,4,0
"479",17063,89,89,8,8,0
"480",17065,25,25,4,4,0
"481",17067,18,18,3,3,0
"482",17069,25,25,4,4,0
"483",17073,86,50,7,7,0
"484",17075,25,25,5,5,0
"485",17077,179,179,25,25,13
"486",17081,181,171,22,22,0
"487",17083,65,46,4,4,0
"488",17085,25,18,3,3,0
"489",17089,1483,1306,120,120,13
"490",17091,500,460,27,27,0
"491",17095,254,177,18,18,0
"492",17097,1019,826,109,109,0
"493",17099,171,164,13,13,0
"494",17101,25,25,4,4,0
"495",17103,80,66,6,6,0
"496",17105,42,42,5,5,0
"497",17107,25,25,4,4,0
"498",17109,60,45,7,7,0
"499",17111,370,405,55,55,0
"500",17113,370,343,54,54,0
"501",17115,424,446,35,35,0
"502",17117,50,50,8,8,0
"503",17119,953,677,62,62,0
"504",17121,149,107,13,13,0
"505",17125,25,25,4,4,0
"506",17127,25,25,4,4,0
"507",17131,22,22,4,4,0
"508",17135,50,50,9,9,0
"509",17137,131,93,9,9,0
"510",17141,16,17,4,4,0
"511",17143,1226,986,115,115,28
"512",17145,42,42,7,7,0
"513",17147,16,16,3,3,0
"514",17149,35,25,4,4,0
"515",17157,171,171,29,29,0
"516",17159,134,47,8,8,0
"517",17161,472,442,27,27,9
"518",17163,736,556,63,63,0
"519",17165,102,65,11,11,0
"520",17167,1159,1004,93,93,43
"521",17169,22,22,4,4,0
"522",17173,30,30,5,5,0
"523",17177,100,100,8,8,0
"524",17179,132,132,12,12,0
"525",17181,135,113,4,4,0
"526",17183,198,179,16,16,0
"527",17185,25,25,4,4,0
"528",17187,23,23,4,4,0
"529",17189,50,22,4,4,0
"530",17191,55,25,4,4,0
"531",17195,123,121,13,13,0
"532",17197,1023,850,97,97,0
"533",17199,327,294,28,28,0
"534",17201,988,932,99,99,60
"535",17203,25,25,4,4,0
"536",18001,25,25,4,4,0
"537",18003,1630,1630,235,235,101
"538",18005,225,225,17,17,0
"539",18009,15,15,4,4,0
"540",18011,68,68,8,8,0
"541",18017,165,165,5,5,0
"542",18019,253,253,22,22,0
"543",18021,25,25,4,4,0
"544",18023,25,25,5,5,0
"545",18027,42,42,5,5,0
"546",18029,102,102,8,8,0
"547",18031,25,25,4,4,0
"548",18033,37,37,8,8,0
"549",18035,368,368,44,44,23
"550",18037,111,111,26,26,0
"551",18039,338,338,35,35,8
"552",18043,280,269,18,18,0
"553",18049,25,25,4,4,0
"554",18051,25,25,5,5,0
"555",18053,347,347,19,19,0
"556",18055,25,25,5,5,0
"557",18057,610,610,90,90,44
"558",18059,73,73,26,26,0
"559",18061,25,25,4,4,0
"560",18063,260,260,28,28,0
"561",18065,48,48,10,10,0
"562",18067,250,250,21,21,0
"563",18069,36,36,6,6,0
"564",18071,91,91,7,7,0
"565",18073,25,25,4,4,0
"566",18075,25,25,4,4,0
"567",18077,238,238,6,6,0
"568",18079,25,25,4,4,0
"569",18081,195,195,6,6,0
"570",18083,99,99,30,30,0
"571",18085,88,88,14,14,0
"572",18087,25,25,4,4,0
"573",18089,1767,1767,203,203,63
"574",18091,278,278,34,34,0
"575",18093,50,50,11,11,0
"576",18095,303,303,42,42,0
"577",18097,3862,3862,467,467,244
"578",18099,157,157,11,11,0
"579",18103,25,25,4,4,0
"580",18105,357,357,24,24,18
"581",18107,29,29,5,5,0
"582",18109,83,83,10,10,0
"583",18113,47,47,5,5,0
"584",18117,24,24,4,4,0
"585",18123,25,25,4,4,0
"586",18127,292,292,32,32,14
"587",18131,25,25,4,4,0
"588",18133,25,25,6,6,0
"589",18135,25,25,4,4,0
"590",18137,25,25,7,7,0
"591",18139,25,25,4,4,0
"592",18141,837,837,111,111,42
"593",18143,25,25,4,4,0
"594",18145,46,46,6,6,0
"595",18149,15,15,1,1,0
"596",18151,25,25,2,2,0
"597",18153,25,25,4,4,0
"598",18157,477,477,35,35,31
"599",18159,25,25,4,4,0
"600",18163,993,993,136,136,40
"601",18165,25,25,6,6,0
"602",18167,494,494,54,54,15
"603",18169,18,18,3,3,0
"604",18171,16,16,4,4,0
"605",18173,338,338,75,75,0
"606",18175,25,25,4,4,0
"607",18177,376,376,30,30,0
"608",18179,62,62,7,7,0
"609",18181,25,25,4,4,0
"610",18183,30,30,5,5,0
"611",19001,25,25,4,4,0
"612",19003,22,22,4,4,0
"613",19005,25,25,5,5,0
"614",19007,45,25,3,3,0
"615",19009,25,25,4,4,0
"616",19011,25,25,4,4,0
"617",19013,675,384,29,29,7
"618",19015,42,25,4,4,0
"619",19017,50,37,7,7,0
"620",19019,120,85,4,4,0
"621",19021,35,25,4,4,0
"622",19025,25,25,2,2,0
"623",19027,116,66,9,9,0
"624",19029,33,25,4,4,0
"625",19033,346,205,18,18,0
"626",19035,83,61,4,4,0
"627",19037,18,8,1,1,0
"628",19039,25,25,4,4,0
"629",19041,99,49,9,9,0
"630",19043,50,40,7,7,0
"631",19045,265,120,12,12,0
"632",19047,25,25,4,4,0
"633",19049,25,25,4,4,0
"634",19051,25,25,4,4,0
"635",19053,25,11,2,2,0
"636",19055,25,25,4,4,0
"637",19057,213,136,12,12,0
"638",19059,49,44,8,8,0
"639",19061,470,257,21,21,0
"640",19063,25,22,4,4,0
"641",19065,50,50,8,8,0
"642",19067,25,25,4,4,0
"643",19069,25,25,4,4,0
"644",19071,25,25,4,4,0
"645",19073,25,25,4,4,0
"646",19075,80,25,4,4,0
"647",19077,25,25,4,4,0
"648",19079,25,25,4,4,0
"649",19081,25,25,4,4,0
"650",19083,35,19,3,3,0
"651",19085,25,25,4,4,0
"652",19087,74,25,4,4,0
"653",19089,19,18,3,3,0
"654",19091,49,17,3,3,0
"655",19093,25,25,4,4,0
"656",19095,25,25,4,4,0
"657",19097,25,25,4,4,0
"658",19099,68,48,8,8,0
"659",19101,25,25,4,4,0
"660",19103,1383,962,77,77,116
"661",19105,22,22,4,4,0
"662",19107,25,25,4,4,0
"663",19109,25,24,4,4,0
"664",19111,121,99,12,12,0
"665",19113,994,495,36,36,32
"666",19117,25,25,4,4,0
"667",19119,25,11,2,2,0
"668",19121,25,25,4,4,0
"669",19123,33,25,4,4,0
"670",19125,50,50,7,7,0
"671",19127,125,41,7,7,0
"672",19131,25,25,4,4,0
"673",19133,25,25,4,4,0
"674",19135,25,25,4,4,0
"675",19137,25,25,8,8,0
"676",19139,48,45,5,5,0
"677",19141,39,39,6,6,0
"678",19143,25,25,4,4,0
"679",19145,50,50,6,6,0
"680",19147,47,24,4,4,0
"681",19149,25,25,4,4,0
"682",19151,25,25,4,4,0
"683",19153,1671,1520,110,110,91
"684",19155,514,255,29,29,0
"685",19157,49,49,5,5,0
"686",19159,16,16,3,3,0
"687",19161,25,25,4,4,0
"688",19163,691,432,47,47,6
"689",19165,25,25,4,4,0
"690",19167,96,94,15,15,0
"691",19169,237,175,17,17,0
"692",19175,25,25,4,4,0
"693",19177,25,25,4,4,0
"694",19179,217,88,11,11,0
"695",19183,25,25,4,4,0
"696",19185,25,25,4,4,0
"697",19187,200,46,8,8,0
"698",19191,25,25,4,4,0
"699",19193,830,316,34,34,20
"700",19197,47,47,8,8,0
"701",20001,25,25,4,4,0
"702",20003,12,12,2,2,0
"703",20005,25,25,4,4,0
"704",20007,35,32,6,6,0
"705",20009,81,76,11,11,0
"706",20013,25,25,4,4,0
"707",20015,126,108,16,16,0
"708",20019,25,17,3,3,0
"709",20021,61,46,8,8,0
"710",20023,16,16,3,3,0
"711",20025,43,39,6,6,0
"712",20027,25,17,3,3,0
"713",20029,25,22,4,4,0
"714",20031,25,25,4,4,0
"715",20033,12,12,2,2,0
"716",20035,74,53,4,4,0
"717",20037,100,89,16,16,0
"718",20039,18,21,4,4,0
"719",20041,50,34,6,6,0
"720",20045,148,110,10,10,0
"721",20047,12,12,2,2,0
"722",20051,194,149,34,34,0
"723",20053,20,18,3,3,0
"724",20055,100,90,8,8,7
"725",20057,99,60,10,10,0
"726",20059,44,44,5,5,0
"727",20061,139,96,6,6,0
"728",20063,21,21,4,4,0
"729",20065,20,20,3,3,0
"730",20067,26,26,5,5,0
"731",20071,18,18,3,3,0
"732",20073,25,25,4,4,0
"733",20075,25,25,4,4,0
"734",20077,12,25,4,4,0
"735",20079,163,134,6,6,0
"736",20081,13,13,2,2,0
"737",20083,50,25,4,4,0
"738",20085,12,12,2,2,0
"739",20087,25,25,4,4,0
"740",20089,25,24,4,4,0
"741",20091,1955,1519,262,262,105
"742",20093,25,25,4,4,0
"743",20095,25,25,4,4,0
"744",20097,15,15,3,3,0
"745",20099,99,46,5,5,0
"746",20101,25,25,4,4,0
"747",20103,100,46,10,10,0
"748",20105,14,10,2,2,0
"749",20109,25,25,4,4,0
"750",20111,25,21,6,6,0
"751",20113,95,81,15,15,0
"752",20115,25,25,5,5,0
"753",20117,25,23,4,4,0
"754",20119,20,20,3,3,0
"755",20121,245,104,109,109,0
"756",20123,25,16,4,4,0
"757",20125,47,47,7,7,0
"758",20127,25,25,4,4,0
"759",20129,28,26,5,5,0
"760",20131,49,41,7,7,0
"761",20133,25,22,5,5,0
"762",20135,50,37,6,6,0
"763",20137,25,25,4,4,0
"764",20141,25,24,4,4,0
"765",20143,25,25,4,4,0
"766",20145,638,121,4,4,0
"767",20147,25,25,4,4,0
"768",20149,50,43,7,7,0
"769",20151,35,35,6,6,0
"770",20153,24,15,3,3,0
"771",20155,200,137,20,20,0
"772",20157,25,25,4,4,0
"773",20159,25,25,4,4,0
"774",20161,163,99,10,10,0
"775",20163,20,16,3,3,0
"776",20165,25,16,3,3,0
"777",20167,25,19,3,3,0
"778",20169,392,191,21,21,14
"779",20171,25,25,4,4,0
"780",20173,2837,1726,214,214,67
"781",20175,69,71,8,8,0
"782",20177,1067,748,45,45,40
"783",20179,18,18,3,3,0
"784",20181,25,21,4,4,0
"785",20183,25,16,3,3,0
"786",20185,25,25,4,4,0
"787",20187,18,16,3,3,0
"788",20189,25,17,3,3,0
"789",20191,25,25,4,4,0
"790",20193,25,21,1,1,0
"791",20195,25,25,4,4,0
"792",20201,50,50,8,8,0
"793",20203,25,25,4,4,0
"794",20205,40,40,7,7,0
"795",20209,1376,1059,167,167,38
"796",21003,25,25,4,4,0
"797",21009,180,108,10,10,4
"798",21013,216,87,14,14,0
"799",21015,271,166,18,18,0
"800",21017,58,34,4,4,0
"801",21019,455,439,38,38,13
"802",21021,197,170,22,22,0
"803",21025,55,49,4,4,0
"804",21027,25,25,4,4,0
"805",21033,25,25,4,4,0
"806",21035,152,99,10,10,0
"807",21037,211,156,26,26,0
"808",21041,25,25,4,4,0
"809",21045,24,24,4,4,0
"810",21047,786,390,18,18,4
"811",21049,54,54,8,8,0
"812",21051,49,49,6,6,0
"813",21053,42,38,7,7,0
"814",21055,48,48,8,8,0
"815",21057,25,25,4,4,0
"816",21059,527,507,32,32,16
"817",21065,25,25,4,4,0
"818",21067,2185,1932,367,367,78
"819",21069,25,52,3,3,0
"820",21071,224,177,20,20,0
"821",21073,173,116,10,10,4
"822",21081,25,15,3,3,0
"823",21083,107,95,8,8,0
"824",21085,75,75,6,6,0
"825",21087,35,25,4,4,0
"826",21089,190,135,12,12,0
"827",21093,465,428,10,10,0
"828",21095,150,81,7,7,0
"829",21097,61,61,6,6,0
"830",21099,25,25,4,4,0
"831",21101,192,118,12,12,15
"832",21107,425,445,25,25,6
"833",21111,2985,1993,538,538,169
"834",21115,72,72,6,6,0
"835",21117,707,707,46,46,25
"836",21121,25,25,6,6,0
"837",21125,150,106,14,14,0
"838",21127,90,65,6,6,0
"839",21131,25,25,4,4,0
"840",21133,90,90,6,6,0
"841",21137,25,25,4,4,0
"842",21139,25,25,4,4,0
"843",21141,75,75,6,6,0
"844",21145,1057,573,40,40,0
"845",21151,130,85,12,12,0
"846",21155,75,63,6,6,0
"847",21157,25,25,4,4,0
"848",21161,100,100,5,5,0
"849",21167,25,25,4,4,0
"850",21171,49,49,9,9,0
"851",21173,42,42,4,4,0
"852",21175,25,25,4,4,0
"853",21177,90,47,6,6,0
"854",21179,40,40,4,4,0
"855",21183,25,25,4,4,0
"856",21185,90,90,8,8,0
"857",21193,358,229,32,32,0
"858",21195,453,356,85,85,0
"859",21199,283,230,38,38,0
"860",21203,26,20,4,4,0
"861",21205,149,90,14,14,0
"862",21207,25,25,2,2,0
"863",21209,75,75,6,6,0
"864",21211,70,30,4,4,0
"865",21213,25,25,4,4,0
"866",21217,90,90,8,8,0
"867",21221,25,25,4,4,0
"868",21225,25,25,4,4,0
"869",21227,761,639,39,39,12
"870",21231,25,25,4,4,0
"871",21235,305,280,48,48,0
"872",21239,25,25,4,4,0
"873",22001,186,171,7,7,0
"874",22003,109,74,7,7,0
"875",22005,151,151,43,43,0
"876",22007,15,15,3,3,0
"877",22009,94,92,6,6,0
"878",22011,80,80,6,6,4
"879",22013,21,21,4,4,0
"880",22015,278,217,19,19,0
"881",22017,2130,1829,167,167,87
"882",22019,947,740,91,91,43
"883",22021,87,77,13,13,0
"884",22023,49,49,9,9,0
"885",22027,47,37,4,4,0
"886",22029,65,65,11,11,0
"887",22031,34,34,6,6,0
"888",22033,2297,1920,183,183,118
"889",22035,23,23,4,4,0
"890",22037,633,636,52,52,0
"891",22039,285,223,24,24,0
"892",22041,37,29,6,6,0
"893",22045,166,153,11,11,0
"894",22047,10,10,0,0,0
"895",22049,25,25,4,4,0
"896",22051,2259,2003,209,209,111
"897",22053,92,92,5,5,0
"898",22055,1258,1248,176,176,159
"899",22057,240,178,21,21,0
"900",22059,81,55,9,9,0
"901",22061,266,258,26,26,11
"902",22063,0,0,0,0,0
"903",22065,25,25,5,5,0
"904",22067,119,109,6,6,0
"905",22069,117,102,12,12,0
"906",22071,2009,1301,269,269,139
"907",22073,1021,806,111,111,60
"908",22077,26,25,4,4,0
"909",22079,1129,1110,75,75,55
"910",22081,37,37,4,4,0
"911",22083,63,63,6,6,0
"912",22085,48,48,8,8,0
"913",22087,40,40,8,8,0
"914",22089,59,39,8,8,0
"915",22091,25,25,4,4,0
"916",22093,44,44,4,4,0
"917",22095,82,82,0,0,0
"918",22097,257,211,26,26,0
"919",22099,43,43,4,4,0
"920",22101,186,152,15,15,0
"921",22103,1132,1070,256,256,28
"922",22105,536,536,79,79,14
"923",22109,567,344,38,38,8
"924",22111,35,35,6,6,0
"925",22113,95,69,10,10,0
"926",22115,134,126,7,7,0
"927",22117,117,61,13,13,0
"928",22119,219,171,16,16,2
"929",22123,30,30,5,5,0
"930",22125,25,25,4,4,0
"931",22127,60,46,5,5,0
"932",23001,483,361,34,34,11
"933",23003,228,166,24,24,0
"934",23005,1121,985,56,56,31
"935",23007,70,48,5,5,0
"936",23009,114,98,14,14,0
"937",23011,427,297,24,24,0
"938",23013,99,81,8,8,0
"939",23015,25,25,4,4,0
"940",23017,75,50,8,8,0
"941",23019,773,581,60,60,23
"942",23021,48,50,8,8,0
"943",23025,50,50,8,8,0
"944",23027,25,25,4,4,0
"945",23029,50,50,8,8,0
"946",23031,229,206,14,14,0
"947",24001,279,288,14,14,0
"948",24003,634,483,50,50,30
"949",24005,1965,1518,94,94,50
"950",24009,73,41,4,4,0
"951",24013,683,675,12,12,0
"952",24015,175,182,5,5,0
"953",24017,99,98,10,10,0
"954",24019,80,84,0,0,0
"955",24021,269,281,18,18,15
"956",24023,26,27,2,2,0
"957",24025,243,231,19,19,0
"958",24027,225,245,48,48,0
"959",24029,12,21,6,6,0
"960",24031,2166,1682,231,231,85
"961",24033,661,490,78,78,15
"962",24037,93,96,12,12,0
"963",24041,97,48,16,16,0
"964",24043,362,340,26,26,0
"965",24045,391,418,34,34,0
"966",24047,40,32,6,6,0
"967",24510,4051,3593,626,626,167
"968",25001,430,410,22,22,0
"969",25003,323,245,24,24,0
"970",25005,1185,1101,110,110,16
"971",25007,25,25,4,4,0
"972",25009,943,1332,107,107,0
"973",25011,89,89,6,6,0
"974",25013,1537,1406,112,112,55
"975",25015,140,118,11,11,0
"976",25017,3502,3462,320,320,26
"977",25019,14,19,3,3,0
"978",25021,1527,1329,114,114,0
"979",25023,700,659,48,48,0
"980",25025,5824,5716,903,903,120
"981",25027,2203,2449,212,212,27
"982",26003,11,11,2,2,0
"983",26005,68,68,11,11,0
"984",26007,124,128,9,9,0
"985",26011,25,25,5,5,0
"986",26013,15,15,3,3,0
"987",26015,25,25,6,6,0
"988",26017,387,328,37,37,0
"989",26019,8,8,1,1,0
"990",26021,259,222,25,25,0
"991",26023,71,87,10,10,0
"992",26025,281,262,37,37,0
"993",26027,25,25,4,4,0
"994",26029,25,25,4,4,0
"995",26033,82,49,6,6,0
"996",26035,49,49,9,9,0
"997",26037,59,59,2,2,0
"998",26039,71,49,6,6,0
"999",26041,25,25,9,9,0
"1000",26043,66,56,6,6,0
"1001",26045,45,45,7,7,0
"1002",26047,202,187,18,18,0
"1003",26049,1151,1047,125,125,44
"1004",26051,25,25,4,4,0
"1005",26053,25,25,5,5,0
"1006",26055,425,409,20,20,0
"1007",26057,67,49,9,9,0
"1008",26059,65,44,4,4,0
"1009",26061,61,61,11,11,0
"1010",26063,98,98,11,11,0
"1011",26065,913,873,120,120,33
"1012",26067,22,25,2,2,0
"1013",26069,47,47,4,4,0
"1014",26071,25,25,3,3,0
"1015",26073,118,83,8,8,0
"1016",26075,501,469,61,61,0
"1017",26077,989,904,70,70,53
"1018",26079,8,8,1,1,0
"1019",26081,1796,2018,157,157,111
"1020",26087,183,183,10,10,0
"1021",26091,113,113,13,13,0
"1022",26093,107,142,25,25,0
"1023",26095,25,25,4,4,0
"1024",26097,15,15,3,3,0
"1025",26099,1229,1234,139,139,0
"1026",26101,45,45,8,8,0
"1027",26103,204,263,30,30,11
"1028",26105,45,45,6,6,0
"1029",26107,49,49,4,4,0
"1030",26111,308,324,26,26,0
"1031",26115,217,153,14,14,0
"1032",26117,148,131,18,18,0
"1033",26121,227,362,49,49,0
"1034",26123,25,25,9,9,0
"1035",26125,4386,3799,422,422,44
"1036",26127,24,24,4,4,0
"1037",26129,88,88,15,15,0
"1038",26131,25,25,4,4,0
"1039",26133,25,25,4,4,0
"1040",26137,46,46,4,4,0
"1041",26139,309,325,22,22,0
"1042",26145,610,724,106,106,0
"1043",26147,375,372,23,23,0
"1044",26149,144,97,13,13,0
"1045",26151,65,65,11,11,0
"1046",26153,12,12,2,2,0
"1047",26155,107,111,7,7,0
"1048",26157,198,198,8,8,0
"1049",26159,74,74,14,14,0
"1050",26161,1971,1778,89,89,0
"1051",26163,6053,5357,676,676,190
"1052",26165,49,49,20,20,0
"1053",27001,25,25,4,4,0
"1054",27003,746,666,35,35,0
"1055",27005,87,36,8,8,0
"1056",27007,134,105,10,10,0
"1057",27011,40,40,7,7,0
"1058",27013,272,167,29,29,0
"1059",27015,78,40,7,7,0
"1060",27017,105,47,6,6,0
"1061",27019,109,109,18,18,0
"1062",27021,5,5,1,1,0
"1063",27023,30,25,4,4,0
"1064",27025,61,55,10,10,0
"1065",27029,48,48,8,8,0
"1066",27031,16,16,3,3,0
"1067",27033,26,26,4,4,0
"1068",27035,220,168,16,16,0
"1069",27037,244,216,23,23,0
"1070",27041,143,115,8,8,0
"1071",27043,43,24,4,4,0
"1072",27047,159,159,18,18,0
"1073",27049,83,83,12,12,0
"1074",27051,10,10,2,2,0
"1075",27053,7211,3717,445,445,385
"1076",27057,50,25,4,4,0
"1077",27059,86,70,12,12,0
"1078",27061,104,76,12,12,0
"1079",27063,20,14,2,2,0
"1080",27065,49,25,4,4,0
"1081",27067,136,81,40,40,0
"1082",27069,15,15,3,3,0
"1083",27071,25,18,3,3,0
"1084",27073,32,32,5,5,0
"1085",27075,25,16,3,3,0
"1086",27077,15,15,3,3,0
"1087",27079,15,9,2,2,0
"1088",27081,44,44,7,7,0
"1089",27083,74,50,8,8,0
"1090",27085,115,74,10,10,0
"1091",27087,18,10,2,2,0
"1092",27089,12,12,2,2,0
"1093",27091,57,55,10,10,0
"1094",27093,35,25,4,4,0
"1095",27095,28,28,5,5,0
"1096",27097,49,25,4,4,0
"1097",27101,25,20,3,3,0
"1098",27103,73,65,3,3,0
"1099",27105,48,48,8,8,0
"1100",27107,14,14,2,2,0
"1101",27109,2136,1192,250,250,0
"1102",27111,149,121,9,9,0
"1103",27113,42,41,4,4,0
"1104",27115,30,9,2,2,0
"1105",27117,44,18,3,3,0
"1106",27119,92,54,9,9,0
"1107",27121,34,19,3,3,0
"1108",27123,1925,1328,151,151,10
"1109",27127,25,25,4,4,0
"1110",27129,16,16,3,3,0
"1111",27131,49,32,6,6,0
"1112",27133,28,25,4,4,0
"1113",27135,25,25,4,4,0
"1114",27137,1121,815,97,97,18
"1115",27139,142,109,19,19,0
"1116",27141,54,33,4,4,0
"1117",27143,20,16,3,3,0
"1118",27145,590,535,52,52,30
"1119",27147,43,29,5,5,0
"1120",27149,49,25,4,4,0
"1121",27151,36,33,6,6,0
"1122",27153,71,39,5,5,0
"1123",27155,25,15,3,3,0
"1124",27157,25,14,2,2,0
"1125",27159,124,100,15,15,0
"1126",27161,35,15,3,3,0
"1127",27163,183,154,31,31,0
"1128",27165,50,50,8,8,0
"1129",27167,25,25,4,4,0
"1130",27169,49,49,8,8,0
"1131",27171,106,85,11,11,0
"1132",27173,55,47,8,8,0
"1133",28001,159,147,15,15,0
"1134",28003,200,163,24,24,0
"1135",28005,25,16,3,3,0
"1136",28007,25,25,4,4,0
"1137",28011,164,152,8,8,0
"1138",28013,25,25,4,4,0
"1139",28017,84,39,7,7,0
"1140",28019,25,15,3,3,0
"1141",28021,32,22,4,4,0
"1142",28023,25,25,4,4,0
"1143",28025,49,49,6,6,0
"1144",28027,181,181,10,10,0
"1145",28029,25,25,4,4,0
"1146",28031,35,25,4,4,0
"1147",28033,514,470,62,62,1
"1148",28035,542,457,45,45,0
"1149",28037,25,24,4,4,0
"1150",28039,48,42,6,6,0
"1151",28041,7,7,1,1,0
"1152",28043,156,49,9,9,0
"1153",28045,102,47,6,6,0
"1154",28047,1081,854,66,66,23
"1155",28049,2391,2055,195,195,199
"1156",28051,25,25,4,4,0
"1157",28059,435,435,48,48,0
"1158",28061,16,16,3,3,0
"1159",28063,30,12,2,2,0
"1160",28065,35,25,4,4,0
"1161",28067,285,268,14,14,0
"1162",28069,25,25,4,4,0
"1163",28071,217,169,24,24,0
"1164",28073,261,175,17,17,0
"1165",28075,988,767,74,74,6
"1166",28077,25,25,4,4,0
"1167",28079,25,25,4,4,0
"1168",28081,700,577,42,42,26
"1169",28083,40,173,9,9,0
"1170",28085,99,90,5,5,0
"1171",28087,315,158,18,18,0
"1172",28089,67,67,7,7,0
"1173",28091,49,49,6,6,0
"1174",28093,40,27,5,5,0
"1175",28095,130,120,13,13,6
"1176",28097,25,25,4,4,0
"1177",28099,68,58,11,11,0
"1178",28101,25,25,4,4,0
"1179",28103,25,25,4,4,0
"1180",28105,96,88,6,6,0
"1181",28107,112,45,8,8,0
"1182",28109,84,73,10,10,0
"1183",28111,22,22,4,4,0
"1184",28113,191,177,19,19,0
"1185",28115,25,25,4,4,0
"1186",28117,114,39,7,7,0
"1187",28121,2055,608,44,44,36
"1188",28123,35,25,4,4,0
"1189",28125,29,19,3,3,0
"1190",28127,99,69,12,12,0
