"","FIPS","vehicles","pubtrans","teleworkable"
"1","01001",2.52120897652095,0.00078959093549606,0.461634121274409
"2","01003",2.32587273626157,0.000561584724895483,0.460458508125194
"3","01005",2.55559860255835,0.00104672185745551,0.428802376320909
"4","01007",2.62899843505477,0.000312989045383412,0.380907209382546
"5","01009",2.65371863306185,0.000398965441338323,0.412437681119611
"6","01011",2.55559860255835,0.00104672185745551,0.428802376320908
"7","01013",2.48753100927014,0.000293772032902468,0.384839510890332
"8","01015",2.54799850938998,0.000996628794772465,0.398533007334963
"9","01017",2.66452890618352,0.000379072124273767,0.366351011076267
"10","01019",2.56128547696185,0.000884736074954331,0.366754715577216
"11","01021",2.66452890618352,0.000379072124273767,0.366351011076267
"12","01023",2.49559002656257,0.000821825332765883,0.3553699878926
"13","01025",2.49559002656257,0.000821825332765883,0.3553699878926
"14","01027",2.56128547696185,0.000884736074954331,0.366754715577216
"15","01029",2.56128547696185,0.000884736074954331,0.366754715577216
"16","01031",2.48753100927014,0.000293772032902468,0.384839510890332
"17","01033",2.5800404396739,0.000440964529243477,0.390977218524543
"18","01035",2.49559002656257,0.000821825332765883,0.3553699878926
"19","01037",2.66452890618352,0.000379072124273767,0.366351011076267
"20","01039",2.48753100927014,0.000293772032902468,0.384839510890332
"21","01041",2.48753100927014,0.000293772032902468,0.384839510890332
"22","01043",2.61081116671056,0.000620790849919109,0.352955177969826
"23","01045",2.46512524280215,0.000258650856844358,0.392977846323746
"24","01047",2.62899843505477,0.000312989045383412,0.380907209382546
"25","01049",2.54555924120648,0.000145984217484043,0.342195245652209
"26","01051",2.52120897652095,0.00078959093549606,0.461634121274409
"27","01053",2.49559002656257,0.000821825332765883,0.3553699878926
"28","01055",2.60759272388241,0.000475880621946837,0.36845818249327
"29","01057",2.56435635145362,0.000680254755405899,0.35962691538974
"30","01059",2.5800404396739,0.000440964529243477,0.390977218524543
"31","01061",2.46512524280215,0.000258650856844358,0.392977846323746
"32","01063",2.62899843505477,0.000312989045383412,0.380907209382546
"33","01065",2.62899843505477,0.000312989045383412,0.380907209382546
"34","01067",2.46512524280215,0.000258650856844358,0.392977846323746
"35","01069",2.46512524280215,0.000258650856844358,0.392977846323746
"36","01071",2.54555924120648,0.000145984217484043,0.342195245652209
"37","01073",2.46695040020378,0.00377688051805883,0.463668480855533
"38","01075",2.56435635145362,0.0006802547554059,0.35962691538974
"39","01077",2.5800404396739,0.000440964529243477,0.390977218524543
"40","01079",2.57917263869347,0.00148588410104012,0.384221853286602
"41","01081",2.48388334853871,0.00392613332494416,0.467044729420967
"42","01083",2.5580721457325,0.00028716277952686,0.450539648559451
"43","01085",2.52120897652095,0.00078959093549606,0.461634121274409
"44","01087",2.55559860255835,0.00104672185745551,0.428802376320908
"45","01089",2.41804535814267,0.00160913389400837,0.470059250258795
"46","01091",2.62899843505477,0.000312989045383412,0.380907209382546
"47","01093",2.56845050568331,0.000617790742336875,0.368141871830648
"48","01095",2.49542548193682,0.00246044574677315,0.435571057558737
"49","01097",2.3967800220487,0.00182372140484444,0.427674389398725
"50","01099",2.49559002656257,0.000821825332765882,0.3553699878926
"51","01101",2.56370870979776,0.00215532436531686,0.457967458005427
"52","01103",2.57917263869347,0.00148588410104012,0.384221853286601
"53","01105",2.62899843505477,0.000312989045383412,0.380907209382546
"54","01107",2.53781620119901,0.00134339815762538,0.420624371900023
"55","01109",2.55559860255835,0.00104672185745551,0.428802376320908
"56","01111",2.56128547696185,0.000884736074954331,0.366754715577216
"57","01113",2.55559860255835,0.00104672185745551,0.428802376320909
"58","01115",2.65371863306185,0.000398965441338323,0.412437681119611
"59","01117",2.46287759023827,0,0.526554867862086
"60","01119",2.62899843505477,0.000312989045383412,0.380907209382546
"61","01121",2.56128547696185,0.000884736074954331,0.366754715577216
"62","01123",2.66452890618352,0.000379072124273767,0.366351011076267
"63","01125",2.41505788124687,0.00131389953628449,0.409016968932704
"64","01127",2.56435635145362,0.000680254755405899,0.35962691538974
"65","01129",2.49559002656257,0.000821825332765883,0.3553699878926
"66","01131",2.49559002656257,0.000821825332765883,0.3553699878926
"67","01133",2.61081116671056,0.000620790849919109,0.352955177969826
"68","02013",4.19261923794298,0.00360600408562039,0.400192022344418
"69","02016",4.19261923794298,0.00360600408562039,0.400192022344418
"70","02020",2.39290454399622,0.0105840833488121,0.482224008490026
"71","02050",4.19261923794298,0.00360600408562039,0.400192022344418
"72","02060",4.19261923794298,0.00360600408562039,0.400192022344418
"73","02068",2.47876604234285,0.0114998660036328,0.457709812811022
"74","02070",4.19261923794298,0.00360600408562039,0.400192022344418
"75","02090",2.47876604234285,0.0114998660036328,0.457709812811022
"76","02100",2.47876604234285,0.0114998660036328,0.457709812811022
"77","02105",4.19261923794298,0.00360600408562039,0.400192022344418
"78","02110",2.47876604234285,0.0114998660036328,0.457709812811022
"79","02122",2.63276839647697,0.00293380109446222,0.38702766082183
"80","02130",2.47876604234285,0.0114998660036328,0.457709812811022
"81","02150",4.19261923794298,0.00360600408562039,0.400192022344418
"82","02158",4.19261923794298,0.00360600408562039,0.400192022344418
"83","02164",4.19261923794298,0.00360600408562039,0.400192022344418
"84","02170",2.63276839647697,0.00293380109446222,0.38702766082183
"85","02180",4.19261923794298,0.00360600408562039,0.400192022344418
"86","02185",4.19261923794298,0.00360600408562039,0.400192022344418
"87","02188",4.19261923794298,0.00360600408562039,0.400192022344418
"88","02195",4.19261923794298,0.00360600408562039,0.400192022344418
"89","02198",4.19261923794298,0.00360600408562039,0.400192022344418
