"","occ1990dd","teleworkable"
"319",823,FALSE
"320",824,FALSE
"321",825,FALSE
"322",828,FALSE
"323",829,FALSE
"324",834,FALSE
"325",844,FALSE
"326",848,FALSE
"327",849,FALSE
"328",853,FALSE
"329",856,FALSE
"330",859,FALSE
"331",865,FALSE
"332",866,FALSE
"333",869,FALSE
"334",873,FALSE
"335",875,FALSE
"336",878,FALSE
"337",885,FALSE
"338",887,FALSE
"339",888,FALSE
"340",889,FALSE
